Work_type	JM_expect	TK_expect	reconcile	with_coord	N_consultations
transmission line - electrical - maintenance / modification / replacement / upgrade - below ground	0	0	0.5	FALSE	58
transmission line - electrical - new construction - above ground	0.5	0	0.5	FALSE	217
transmission line - electrical - new construction - above ground	0.5	0	0.5	TRUE	103
transmission line - electrical - new construction - below ground	0	0	0.5	FALSE	26
transmission line - electrical - new construction - below ground	0	0	0.5	TRUE	17
transmission line - other	0.5	0	0.5	FALSE	53
transmission line - other	0.5	0	0.5	TRUE	32
transmission line - other - abandonment - above ground	0.5	0	0.5	TRUE	3
transmission line - other - abandonment - above ground	0.5	0	0.5	FALSE	4
transmission line - other - abandonment - below ground	0	0	0.5	FALSE	3
transmission line - other - abandonment - below ground	0	0	0.5	TRUE	1
transmission line - other - maintenance / modification / replacement / upgrade - above ground	0.5	0	0.5	FALSE	24
transmission line - other - maintenance / modification / replacement / upgrade - above ground	0.5	0	0.5	TRUE	13
transmission line - other - maintenance / modification / replacement / upgrade - below ground	0	0	0.5	FALSE	17
transmission line - other - maintenance / modification / replacement / upgrade - below ground	0	0	0.5	TRUE	6
transmission line - other - new construction - above ground	0.5	0	0.5	FALSE	24
transmission line - other - new construction - above ground	0.5	0	0.5	TRUE	14
transmission line - other - new construction - below ground	0	0	0.5	TRUE	31
transmission line - other - new construction - below ground	0	0	0.5	FALSE	41
transmission line - telephone	0.5	0	0.5	FALSE	24
transmission line - telephone	0.5	0	0.5	TRUE	19
transmission line - telephone - abandonment - above ground	0.5	0	0.5	FALSE	1
transmission line - telephone - abandonment - above ground	0.5	0	0.5	TRUE	0
transmission line - telephone - abandonment - below ground	0	0	0.5	FALSE	3
transmission line - telephone - abandonment - below ground	0	0	0.5	TRUE	0
transmission line - telephone - maintenance / modification / replacement / upgrade - above ground	0.5	0	0.5	TRUE	0
transmission line - telephone - maintenance / modification / replacement / upgrade - above ground	0.5	0	0.5	FALSE	15
transmission line - telephone - maintenance / modification / replacement / upgrade - below ground	0	0	0.5	FALSE	15
transmission line - telephone - maintenance / modification / replacement / upgrade - below ground	0	0	0.5	TRUE	8
transmission line - telephone - new construction - above ground	0.5	0	0.5	FALSE	19
transmission line - telephone - new construction - above ground	0.5	0	0.5	TRUE	3
transmission line - telephone - new construction - below ground	0	0	0.5	FALSE	55
transmission line - telephone - new construction - below ground	0	0	0.5	TRUE	16
transport - airport - maintenance / modification / replacement / upgrade	0.5	0.5	0.5	TRUE	107
transport - airport - maintenance / modification / replacement / upgrade	0.5	0.5	0.5	FALSE	202
transport - airport - new construction	1	1	1	FALSE	16
transport - airport - new construction	1	1	1	TRUE	11
transport - railroad - abandonment	0.5	0	0.5	FALSE	25
transport - railroad - abandonment	0.5	0	0.5	TRUE	23
transport - railroad - maintenance / modification / replacement / upgrade	0.5	0.5	0.5	TRUE	85
transport - railroad - maintenance / modification / replacement / upgrade	0.5	0.5	0.5	FALSE	63
transport - railroad - new construction	1	1	1	TRUE	32
transport - railroad - new construction	1	1	1	FALSE	31
transport - road / highway - abandonment - federal	0.5	0	0.5	FALSE	10
transport - road / highway - abandonment - federal	0.5	0	0.5	TRUE	18
transport - road / highway - abandonment - non federal	0.5	0	0.5	FALSE	1
transport - road / highway - abandonment - non federal	0.5	0	0.5	TRUE	10
transport - road / highway - maintenance / modification / replacement / upgrade - federal	0.5	0.5	0.5	TRUE	1434
transport - road / highway - maintenance / modification / replacement / upgrade - federal	0.5	0.5	0.5	FALSE	1569
transport - road / highway - maintenance / modification / replacement / upgrade - non federal	0.5	0.5	0.5	TRUE	800
transport - road / highway - maintenance / modification / replacement / upgrade - non federal	0.5	0.5	0.5	FALSE	368
transport - road / highway - new construction - federal	1	1	1	TRUE	171
transport - road / highway - new construction - federal	1	1	1	FALSE	153
transport - road / highway - new construction - non federal	1	1	1	TRUE	197
transport - road / highway - new construction - non federal	1	1	1	FALSE	65
transport - shipping - inland waterway / navigation	0	0	0	TRUE	30
transport - shipping - inland waterway / navigation	0	0	0	FALSE	22
transportation	0.5	0.5	0.5	TRUE	167
transportation	0.5	0.5	0.5	FALSE	206
transportation - airport	0.5	1	1	TRUE	76
transportation - airport	0.5	1	1	FALSE	130
transportation - other	0.5	0.5	0.5	TRUE	311
transportation - other	0.5	0.5	0.5	FALSE	336
transportation - railroad	0.5	1	0.5	FALSE	80
transportation - railroad	0.5	1	0.5	TRUE	82
transportation - road / highway	0.5	1	0.5	TRUE	1380
transportation - road / highway	0.5	1	0.5	FALSE	2115
transportation - shipping	0.5	0	0.5	TRUE	24
transportation - shipping	0.5	0	0.5	FALSE	24
vegetation management	0.5	0.5	0.5	TRUE	32
vegetation management	0.5	0.5	0.5	FALSE	154
vegetation management - fire	0.5	0.5	0.5	FALSE	39
vegetation management - fire	0.5	0.5	0.5	TRUE	13
vegetation management - fire - forest	1	0.5	0.5	TRUE	11
vegetation management - fire - forest	1	0.5	0.5	FALSE	68
vegetation management - fire - grassland	0.5	0.5	0.5	TRUE	4
vegetation management - fire - grassland	0.5	0.5	0.5	FALSE	4
vegetation management - fire - invasive plant control	0.5	0.5	0.5	TRUE	1
vegetation management - fire - invasive plant control	0.5	0.5	0.5	FALSE	6
vegetation management - fire - other	0.5	0.5	0.5	TRUE	0
vegetation management - fire - other	0.5	0.5	0.5	FALSE	2
vegetation management - fire - upland	1	0.5	0.5	TRUE	3
vegetation management - fire - upland	1	0.5	0.5	FALSE	5
vegetation management - fire - wetland	0.5	0.5	0.5	TRUE	2
vegetation management - fire - wetland	0.5	0.5	0.5	FALSE	6
vegetation management - fire - wui	NA	0.5	0.5	TRUE	0
vegetation management - fire - wui	NA	0.5	0.5	FALSE	8
vegetation management - mechanical	0.5	0	0.5	TRUE	15
vegetation management - mechanical	0.5	0	0.5	FALSE	44
vegetation management - mechanical - agricultural	0.5	0	0.5	FALSE	1
vegetation management - mechanical - agricultural	0.5	0	0.5	TRUE	1
vegetation management - mechanical - forest	1	0	0.5	TRUE	43
vegetation management - mechanical - forest	1	0	0.5	FALSE	61
vegetation management - mechanical - grassland	0.5	0	0.5	TRUE	3
vegetation management - mechanical - grassland	0.5	0	0.5	FALSE	4
vegetation management - mechanical - invasive plant control	0.5	0	0.5	TRUE	7
vegetation management - mechanical - invasive plant control	0.5	0	0.5	FALSE	8
vegetation management - mechanical - other	0.5	0	0.5	FALSE	5
vegetation management - mechanical - other	0.5	0	0.5	TRUE	2
vegetation management - mechanical - upland	1	0	0.5	TRUE	3
vegetation management - mechanical - upland	1	0	0.5	FALSE	8
vegetation management - mechanical - wetland	0.5	0	0.5	TRUE	4
vegetation management - mechanical - wetland	0.5	0	0.5	FALSE	13
vegetation management - mechanical - wui	NA	0	0.5	TRUE	0
vegetation management - mechanical - wui	NA	0	0.5	FALSE	4
vegetation management - other	0.5	NA	NA	TRUE	9
vegetation management - other	0.5	NA	NA	FALSE	25
vegetation management - other - agricultural	0.5	NA	NA	TRUE	0
vegetation management - other - agricultural	0.5	NA	NA	FALSE	1
vegetation management - other - forest	1	NA	NA	TRUE	14
vegetation management - other - forest	1	NA	NA	FALSE	17
vegetation management - other - grassland	0.5	NA	NA	TRUE	4
vegetation management - other - grassland	0.5	NA	NA	FALSE	8
vegetation management - other - invasive plant control	0.5	NA	NA	TRUE	6
vegetation management - other - invasive plant control	0.5	NA	NA	FALSE	18
vegetation management - other - other	0.5	NA	NA	FALSE	10
vegetation management - other - other	0.5	NA	NA	TRUE	5
vegetation management - other - upland	1	NA	NA	FALSE	1
vegetation management - other - upland	1	NA	NA	TRUE	3
vegetation management - other - wetland	0.5	NA	NA	TRUE	5
vegetation management - other - wetland	0.5	NA	NA	FALSE	16
vegetation management - other - wui	NA	NA	NA	TRUE	0
vegetation management - other - wui	NA	NA	NA	FALSE	4
vegetation management - pesticide / chemical	0.5	0	0.5	FALSE	38
vegetation management - pesticide / chemical	0.5	0	0.5	TRUE	8
vegetation management - pesticide / chemical - agricultural	0.5	0	0.5	FALSE	3
vegetation management - pesticide / chemical - agricultural	0.5	0	0.5	TRUE	6
vegetation management - pesticide / chemical - forest	1	0	0.5	TRUE	3
vegetation management - pesticide / chemical - forest	1	0	0.5	FALSE	3
vegetation management - pesticide / chemical - grassland	0.5	0	0.5	TRUE	3
vegetation management - pesticide / chemical - grassland	0.5	0	0.5	FALSE	2
vegetation management - pesticide / chemical - invasive plant control	0.5	0	0.5	TRUE	14
vegetation management - pesticide / chemical - invasive plant control	0.5	0	0.5	FALSE	22
vegetation management - pesticide / chemical - other	0.5	0	0.5	TRUE	2
vegetation management - pesticide / chemical - other	0.5	0	0.5	FALSE	1
vegetation management - pesticide / chemical - upland	1	0	0.5	TRUE	1
vegetation management - pesticide / chemical - upland	1	0	0.5	FALSE	1
vegetation management - pesticide / chemical - wetland	0.5	0	0.5	TRUE	3
vegetation management - pesticide / chemical - wetland	0.5	0	0.5	FALSE	0
wastewater facility	0.5	0.5	0.5	TRUE	555
wastewater facility	0.5	0.5	0.5	FALSE	421
wastewater facility - maintenance / modification / replacement / upgrade	0.5	0	0.5	TRUE	291
wastewater facility - maintenance / modification / replacement / upgrade	0.5	0	0.5	FALSE	372
wastewater facility - new construction	1	1	1	FALSE	79
wastewater facility - new construction	1	1	1	TRUE	107
wastewater facility - plant operations	0	NA	0	TRUE	9
wastewater facility - plant operations	0	NA	0	FALSE	14
wastewater pipeline	0.5	0.5	0.5	TRUE	360
wastewater pipeline	0.5	0.5	0.5	FALSE	205
wastewater pipeline - maintenance / modification / replacement / upgrade - above ground	0.5	0	0.5	TRUE	36
wastewater pipeline - maintenance / modification / replacement / upgrade - above ground	0.5	0	0.5	FALSE	20
wastewater pipeline - maintenance / modification / replacement / upgrade - below ground	0	0	0.5	FALSE	303
wastewater pipeline - maintenance / modification / replacement / upgrade - below ground	0	0	0.5	TRUE	311
wastewater pipeline - new construction - above ground	1	0.5	1	TRUE	18
wastewater pipeline - new construction - above ground	1	0.5	1	FALSE	13
wastewater pipeline - new construction - below ground	0	0	0.5	TRUE	296
wastewater pipeline - new construction - below ground	0	0	0.5	FALSE	207
water quality modification	0	0	0	TRUE	46
water quality modification	0	0	0	FALSE	176
water quality modification - stormwater discharge	0	0	0	TRUE	151
water quality modification - stormwater discharge	0	0	0	FALSE	205
water quality modification - stormwater discharge with npdes permit	0	0	0	TRUE	54
water quality modification - stormwater discharge with npdes permit	0	0	0	FALSE	276
water quality modification - wastewater discharge	0	0	0	TRUE	48
water quality modification - wastewater discharge	0	0	0	FALSE	49
water supply / delivery	0.5	NA	0.5	TRUE	404
water supply / delivery	0.5	NA	0.5	FALSE	523
water supply facility	0.5	0.5	0.5	TRUE	35
water supply facility	0.5	0.5	0.5	FALSE	63
water supply facility - desalination plant operations	0	NA	0	FALSE	2
water supply facility - desalination plant operations	0	NA	0	TRUE	9
water supply facility - diversions	0.5	1	0.5	TRUE	17
water supply facility - diversions	0.5	1	0.5	FALSE	7
water supply facility - maintenance / modification / replacement / upgrade	0.5	0	0.5	TRUE	168
water supply facility - maintenance / modification / replacement / upgrade	0.5	0	0.5	FALSE	311
water supply facility - new construction	1	1	1	TRUE	89
water supply facility - new construction	1	1	1	FALSE	102
water supply facility - withdrawal - groundwater	0	NA	NA	FALSE	19
water supply facility - withdrawal - groundwater	0	NA	NA	TRUE	14
water supply facility - withdrawal - surface	0	NA	NA	TRUE	14
water supply facility - withdrawal - surface	0	NA	NA	FALSE	10
water supply pipeline	0.5	0.5	0.5	TRUE	187
water supply pipeline	0.5	0.5	0.5	FALSE	118
water supply pipeline - maintenance / modification / replacement / upgrade - above ground	0.5	0.5	0.5	TRUE	22
water supply pipeline - maintenance / modification / replacement / upgrade - above ground	0.5	0.5	0.5	FALSE	14
water supply pipeline - maintenance / modification / replacement / upgrade - below ground	0	0	0	TRUE	222
water supply pipeline - maintenance / modification / replacement / upgrade - below ground	0	0	0	FALSE	222
water supply pipeline - new construction - above ground	0.5	0.5	0.5	TRUE	22
water supply pipeline - new construction - above ground	0.5	0.5	0.5	FALSE	16
water supply pipeline - new construction - below ground	0	0	0	TRUE	225
water supply pipeline - new construction - below ground	0	0	0	FALSE	203
water withdrawal / depletion	0	0	0	TRUE	67
water withdrawal / depletion	0	0	0	FALSE	125
waterbody acquisition	0	0	0	TRUE	0
waterbody acquisition	0	0	0	FALSE	2
waterbody creation	1	1	1	FALSE	18
waterbody creation	1	1	1	TRUE	5
waterbody drainage	0.5	1	0.5	FALSE	5
waterbody drainage	0.5	1	0.5	TRUE	6
waterbody easement / right-of-way	0	0	0	TRUE	1
waterbody easement / right-of-way	0	0	0	FALSE	3
waterbody flooding / overfill	0	0.5	0.5	TRUE	4
waterbody flooding / overfill	0	0.5	0.5	FALSE	6
waterbody preservation	0	1	0	FALSE	7
waterbody preservation	0	1	0	TRUE	6
waterbody restoration / enhancement	0.5	0.5	0.5	FALSE	46
waterbody restoration / enhancement	0.5	0.5	0.5	TRUE	49
